room_type,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price
0,2,8,1,83,149
1,2,16,1,4,70
1,2,0,1,0,225
0,1,4,2,166,60
1,3,11,1,0,125
0,2,0,1,0,125
1,5,9,1,0,130
0,2,50,2,51,68
1,2,203,3,258,300
1,8,0,2,0,57
0,1,7,1,0,99
1,1,5,1,0,95
0,1,14,4,234,80
0,1,22,1,0,189
0,2,2,1,0,120
0,1,18,4,161,55
0,2,0,1,88,80
0,1,0,1,0,100
1,2,42,1,36,790
1,1,6,1,0,135
1,5,3,1,0,150
0,3,13,1,219,70
0,3,4,2,0,60
0,1,29,3,193,80
0,1,138,2,122,60
1,4,11,2,8,150
0,1,309,1,254,99
0,2,10,2,339,135
0,2,61,1,92,45
0,1,7,3,83,50
0,1,0,1,0,80
0,1,17,1,30,55
1,3,2,1,350,299
1,3,2,4,263,165
1,5,14,1,188,300
1,4,67,1,304,180
0,5,165,2,261,60
0,3,2,1,0,90
1,2,0,1,0,150
0,1,7,1,129,60
1,3,0,1,4,180
1,1,1,1,0,700
0,2,10,1,0,35
1,1,2,1,301,890
1,1,58,1,99,120
0,6,1,1,0,65
0,3,0,1,0,50
0,2,1,1,0,99
1,1,12,1,323,250
1,1,9,1,0,130
0,1,3,1,0,69
0,2,174,2,3,71
1,3,56,1,18,145
0,2,8,2,14,40
0,2,2,1,0,60
1,2,6,1,0,350
0,3,4,1,0,40
1,2,17,1,179,92
0,3,1,1,0,50
0,1,0,3,0,70
0,7,1,1,0,63
0,7,0,1,0,52
0,1,136,4,61,99
0,1,61,2,124,35
0,1,29,1,82,85
1,2,7,1,326,100
1,3,6,3,173,125
1,3,0,2,0,275
1,5,13,1,0,100
2,3,168,1,248,49
0,1,4,1,95,50
2,2,4,3,267,58
1,5,5,1,3,150
1,1,6,1,0,120
0,1,295,2,155,90
0,2,47,1,37,50
0,2,31,2,125,65
0,1,0,1,0,150
1,3,0,1,14,99
0,4,7,1,20,35
1,2,5,1,0,115
0,1,9,1,0,80
1,1,86,1,236,190
1,1,50,1,359,75
1,2,14,1,0,199
0,2,3,1,0,64
1,1,3,1,51,250
0,4,7,1,0,65
0,2,1,4,169,99
2,10,0,1,341,45
0,1,3,2,0,70
1,1,17,1,0,160
0,1,22,4,347,63
1,1,3,1,0,150
1,2,0,1,328,226
1,3,0,1,0,150
1,3,106,1,189,138
0,5,19,1,301,110
0,1,2,2,0,90
0,2,1,1,0,65
1,1,1,1,0,200
1,3,3,1,25,220
1,3,39,3,347,250
0,1,0,2,365,227
0,2,6,1,10,50
0,1,9,3,0,70
0,1,9,1,11,39
0,1,54,1,45,100
0,1,0,1,0,89
0,1,61,2,335,72
0,2,6,4,0,102
0,5,0,1,11,100
0,3,17,3,365,65
0,1,177,3,49,85
1,6,78,1,0,100
1,2,11,1,246,175
1,3,0,1,0,149
0,2,4,1,0,55
0,3,14,1,0,101
1,1,0,1,0,400
0,2,2,1,0,60
1,2,36,2,0,150
0,1,25,2,0,145
1,6,90,1,303,189
1,10,0,1,0,80
1,1,226,2,274,120
0,3,1,1,365,96
1,2,13,1,0,100
1,2,92,1,127,165
1,3,138,1,71,90
1,4,2,1,156,299
1,2,119,2,175,139
0,3,20,3,0,71
1,4,45,1,170,130
1,3,6,1,0,200
0,1,1,1,0,43
1,3,87,1,302,160
0,2,5,1,0,69
